Instrument,Date,Entry_Time,Exit_Time,Entry_LTP,Exit_LTP,PnL_Pct,PnL_Rupees,Remark
NIFTY 17 APR 23750 CE 23750 CE,17-Apr-2025,10:43:00 IST,10:45:00 IST,23.89,8.89,-62.79%,INR -1125.00,Hit dynamic Spot-ATR trailing stop loss after a brief trend pullback failed.
NIFTY 1 JAN 24300 PE 24300 PE,01-Jan-2025,09:47:00 IST,10:25:00 IST,473.34,378.67,-20.00%,INR -7100.25,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
NIFTY 3 JAN 23700 CE 23700 CE,03-Jan-2025,11:09:00 IST,12:25:00 IST,473.64,378.91,-20.00%,INR -7104.75,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
NIFTY 3 JAN 24250 PE 24250 PE,03-Jan-2025,10:14:00 IST,10:55:00 IST,305.93,244.74,-20.00%,INR -4589.25,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
NIFTY 10 JAN 23800 PE 23800 PE,10-Jan-2025,09:57:00 IST,10:40:00 IST,438.09,350.47,-20.00%,INR -6571.50,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
NIFTY 9 JAN 23700 PE 23700 PE,09-Jan-2025,10:32:00 IST,10:45:00 IST,307.04,245.63,-20.00%,INR -4605.75,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
NIFTY 9 JAN 23900 PE 23900 PE,09-Jan-2025,10:04:00 IST,10:30:00 IST,521.46,417.17,-20.00%,INR -7821.75,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
NIFTY 8 JAN 23700 PE 23700 PE,08-Jan-2025,10:22:00 IST,11:05:00 IST,173.32,138.66,-20.00%,INR -2599.50,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
NIFTY 6 MAR 22600 PE 22600 PE,06-Mar-2025,09:49:00 IST,10:10:00 IST,186.5,149.2,-20.00%,INR -2797.50,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
NIFTY 11 MAR 22500 PE 22500 PE,11-Mar-2025,11:31:00 IST,12:05:00 IST,164.12,131.3,-20.00%,INR -2461.50,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
NIFTY 12 FEB 23300 PE 23300 PE,12-Feb-2025,09:47:00 IST,09:50:00 IST,152.31,121.85,-20.00%,INR -2284.50,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
NIFTY 11 MAR 22000 CE 22000 CE,11-Mar-2025,10:43:00 IST,11:25:00 IST,469.55,375.64,-20.00%,INR -7043.25,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
NIFTY 7 APR 22550 PE 22550 PE,07-Apr-2025,10:14:00 IST,10:50:00 IST,247.45,197.96,-20.00%,INR -3711.75,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
NIFTY 7 APR 22800 PE 22800 PE,07-Apr-2025,13:06:00 IST,13:10:00 IST,314.97,251.98,-20.00%,INR -4724.25,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
NIFTY 1 APR 23400 PE 23400 PE,01-Apr-2025,11:33:00 IST,13:35:00 IST,152.76,122.21,-20.00%,INR -2291.25,Hit direct 20% Option Premium Stop Loss. Severe counter-trend market reversal.
